NOM;SOUS_TYPE;CODE_INSEE;geometry
PARKING AUTO;PARKING AUTO;06033;{"type": "Point", "coordinates": [7.19197653, 43.77315058]}
PARKING AUTO;PARKING AUTO;06147;{"type": "Point", "coordinates": [7.26806497, 43.8046025]}
PARKING AUTO;PARKING AUTO;06157;{"type": "Point", "coordinates": [7.10266507, 43.72389416]}
PARKING AUTO;PARKING AUTO;06075;{"type": "Point", "coordinates": [7.19669293, 43.85781362]}
PARKING AUTO;PARKING AUTO;06075;{"type": "Point", "coordinates": [7.19710099, 43.85719638]}
PARKING AUTO;PARKING AUTO;06120;{"type": "Point", "coordinates": [6.92707716, 44.25571291]}
PARKING AUTO;PARKING AUTO;06120;{"type": "Point", "coordinates": [6.92462618, 44.25515684]}
PARKING AUTO;PARKING AUTO;06120;{"type": "Point", "coordinates": [6.92423585, 44.2579148]}
PARKING DE LA PLACE FRAIRIE;PARKING AUTO;06127;{"type": "Point", "coordinates": [7.25661601, 44.06789047]}
PARKING AUTO;PARKING AUTO;06127;{"type": "Point", "coordinates": [7.25475213, 44.06940654]}
PARKING AUTO;PARKING AUTO;06127;{"type": "Point", "coordinates": [7.2529537, 44.07209916]}
PARKING AUTO;PARKING AUTO;06127;{"type": "Point", "coordinates": [7.2564268, 44.07000567]}
PARKING AUTO;PARKING AUTO;06120;{"type": "Point", "coordinates": [6.92871256, 44.22709809]}
PARKING AUTO;PARKING AUTO;06073;{"type": "Point", "coordinates": [7.14901375, 44.19044529]}
PARKING AUTO;PARKING AUTO;06120;{"type": "Point", "coordinates": [6.92434222, 44.22161109]}
PARKING AUTO;PARKING AUTO;06021;{"type": "Point", "coordinates": [7.18876095, 43.86250239]}
PARKING PLACE DOCTEUR RENE MORANI;PARKING AUTO;06066;{"type": "Point", "coordinates": [7.16344888, 43.84958087]}
PARKING DU PRE;PARKING AUTO;06066;{"type": "Point", "coordinates": [7.16307059, 43.85060399]}
PARKING AUTO;PARKING AUTO;06025;{"type": "Point", "coordinates": [7.16832486, 43.80927132]}
PARKING AUTO;PARKING AUTO;06025;{"type": "Point", "coordinates": [7.16880076, 43.80980991]}
PARKING AUTO;PARKING AUTO;06025;{"type": "Point", "coordinates": [7.16806287, 43.80979688]}
PARKING AUTO;PARKING AUTO;06153;{"type": "Point", "coordinates": [7.16580307, 44.07499283]}
PARKING DE LA CROIX;PARKING AUTO;06066;{"type": "Point", "coordinates": [7.16474683, 43.851961]}
PARKING AUTO;PARKING AUTO;06080;{"type": "Point", "coordinates": [7.13562664, 44.03258026]}
PARKING AUTO;PARKING AUTO;06020;{"type": "Point", "coordinates": [7.33202902, 43.99071931]}
PARKING AUTO;PARKING AUTO;06111;{"type": "Point", "coordinates": [7.08791928, 44.08938727]}
PARKING AUTO;PARKING AUTO;06110;{"type": "Point", "coordinates": [7.04922049, 44.09238882]}
PARKING AUTO;PARKING AUTO;06110;{"type": "Point", "coordinates": [7.05042875, 44.09257528]}
PARKING AUTO;PARKING AUTO;06073;{"type": "Point", "coordinates": [7.05285425, 44.18626886]}
PARKING AUTO;PARKING AUTO;06073;{"type": "Point", "coordinates": [7.04939857, 44.1857412]}
PARKING AUTO;PARKING AUTO;06073;{"type": "Point", "coordinates": [7.04849682, 44.18613124]}
PARKING AUTO SAINT-ROCH;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.29323684, 43.71265171]}
PARKING P6;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.20196726, 43.66288948]}
PARKING P7;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.20237088, 43.66174495]}
PARKING P9;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19999936, 43.66606531]}
ALLIANZ RIVIERA P1BIS;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19697077, 43.70545138]}
ALLIANZ RIVIERA P2BIS;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19360664, 43.70710674]}
PARKING P5 G2;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.20391439, 43.66069026]}
PARKING p10;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.20391426, 43.67835418]}
PARKING P7;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19553725, 43.69024637]}
PARCAZUR SAINT-AUGUSTIN;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.21270217, 43.66985081]}
PARKING UFR STAPS;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19483635, 43.6909306]}
PARKING DE LA GLACIERE;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.18974264, 43.72035024]}
ALLIANZ RIVIERA P1;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19111207, 43.70483652]}
ALLIANZ RIVIERA P2;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19640297, 43.70862262]}
ALLIANZ RIVIERA P0;PARKING AUTO;06088;{"type": "Point", "coordinates": [7.19272687, 43.70411436]}
