stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STOPPOINT:03527,,"La Nuit - TRINITE (LA)","",43.737551,7.309052,,,0,,,
STOPPOINT:03528,,"Sainte Anne - TRINITE (LA)","",43.738809,7.309957,,,0,,,
STOPPOINT:03529,,"Pont Anatole France - A - TRINITE (LA)","",43.740839,7.31111,,,0,,,
STOPPOINT:03530,,"Pont de l'Ariane - TRINITE (LA)","",43.734308,7.302675,,,0,,,
STOPPOINT:03531,,"L'Oli - TRINITE (LA)","",43.73539,7.306174,,,0,STOPAREA:00794,,
STOPPOINT:03532,,"La Nuit - TRINITE (LA)","",43.737532,7.308825,,,0,,,
STOPPOINT:03533,,"Sainte Anne - TRINITE (LA)","",43.73886,7.309861,,,0,,,
STOPPOINT:03534,,"Route de Laghet - TRINITE (LA)","",43.741312,7.311519,,,0,STOPAREA:00794,,
STOPPOINT:03535,,"Sanctuaire - TRINITE (LA)","",43.753083,7.382671,,,0,,,
STOPPOINT:03536,,"Sanctuaire - TRINITE (LA)","",43.753368,7.382531,,,0,,,
STOPPOINT:03537,,"Eganaude - BIOT","",43.623054,7.057799,,,0,STOPAREA:01714,,
STOPPOINT:03538,,"I.U.P. de Sophia - BIOT","",43.620966,7.061179,,,0,,,
STOPPOINT:03548,,"Square Bourdet - CAGNES-SUR-MER","",0.0,0.0,,,0,,,
STOPPOINT:03549,,"Riba Roussa - NICE","",43.733273,7.295218,,,0,,,
STOPPOINT:03550,,"Parc A Fourrage - NICE","",43.72709,7.28522,,,0,,,
STOPPOINT:03552,,"René Dunan (Muriers) - A - CANNES","",43.551654,6.966047,,,0,,,
STOPPOINT:03554,,"René Dunan (Muriers) - R - CANNES","",43.551841,6.966043,,,0,STOPAREA:03993,,
STOPPOINT:03556,,"XVème Corps - NICE","",43.706254,7.281183,,,0,,,
STOPPOINT:03560,,"Bocca Formapole - R - CANNES","",43.554768,6.96655,,,0,,,
STOPPOINT:03561,,"Bocca Formapole - A - CANNES","",43.554585,6.966529,,,0,,,
STOPPOINT:03562,,"les pompiers - A - CANNES","",43.555614,6.967561,,,0,,,
STOPPOINT:03563,,"les pompiers - R - CANNES","",43.555889,6.967584,,,0,,,
STOPPOINT:03565,,"Bocca Nord - R - CANNES","",43.558292,6.968402,,,0,,,
STOPPOINT:03567,,"CEG G. Philippe - A - CANNES","",43.570432,6.962571,,,0,STOPAREA:03993,,
STOPPOINT:03568,,"Alfred de Musset - R - CANNES","",43.569803,6.965601,,,0,,,
STOPPOINT:03570,,"Saint Pierre - A - CANNES","",43.568056,6.967099,,,0,,,
STOPPOINT:03571,,"Amaryllis - CANNES","",43.570881,6.960083,,,0,STOPAREA:01880,,
STOPPOINT:03572,,"Amaryllis - CANNES","",43.570716,6.960032,,,0,,,
STOPPOINT:03573,,"Chemin De Pourcel - ROQUETTE/SIAGNE","",43.574566,6.959845,,,0,STOPAREA:02813,,
STOPPOINT:03574,,"Ecole Vieille - ROQUETTE/SIAGNE","",43.577273,6.959724,,,0,,,
STOPPOINT:03575,,"Ecole Vieille - ROQUETTE/SIAGNE","",43.577415,6.959583,,,0,,,
STOPPOINT:03576,,"Courguettes - ROQUETTE/SIAGNE","",43.581162,6.959093,,,0,,,
STOPPOINT:03577,,"Courguettes - ROQUETTE/SIAGNE","",43.580789,6.959175,,,0,,,
STOPPOINT:03578,,"La Caillenque - ROQUETTE/SIAGNE","",43.587446,6.957053,,,0,,,
STOPPOINT:03579,,"La Caillenque - ROQUETTE/SIAGNE","",43.587946,6.956875,,,0,,,
STOPPOINT:03580,,"Colle Des Juges - ROQUETTE/SIAGNE","",43.590736,6.957301,,,0,,,
STOPPOINT:03581,,"Colle Des Juges - ROQUETTE/SIAGNE","",43.591097,6.957102,,,0,,,
STOPPOINT:03582,,"Les Canebiers - ROQUETTE/SIAGNE","",43.595191,6.956275,,,0,,,
STOPPOINT:03583,,"La Roquette Bas - ROQUETTE/SIAGNE","",43.597215,6.954621,,,0,,,
STOPPOINT:03584,,"La Roquette Bas - ROQUETTE/SIAGNE","",43.597014,6.954576,,,0,,,
STOPPOINT:03585,,"Saint Jean - A - CANNES","",43.549664,6.974544,,,0,,,
STOPPOINT:03586,,"Saint Jean - R - CANNES","",43.549585,6.974895,,,0,,,
STOPPOINT:03587,,"Moulin de la Gaieté - A - CANNES","",43.549891,6.971062,,,0,,,
STOPPOINT:03588,,"Moulin de la Gaieté - R - CANNES","",43.549703,6.971459,,,0,,,
STOPPOINT:03590,,"Parking Coubertin - R - CANNES","",43.553656,6.965917,,,0,,,
STOPPOINT:03591,,"Hôtel De Ville - ROQUETTE/SIAGNE","",43.580596,6.956208,,,0,,,
STOPPOINT:03592,,"Hôtel De Ville - ROQUETTE/SIAGNE","",43.580681,6.956074,,,0,,,
STOPPOINT:03597,,"La Marigarde - GRASSE","",43.655219,6.940732,,,0,STOPAREA:01598,,
STOPPOINT:03598,,"La Marigarde - GRASSE","",43.655279,6.940402,,,0,,,
STOPPOINT:03599,,"ZI Du Carré - GRASSE","",43.654236,6.932845,,,0,,,
STOPPOINT:03600,,"ZI Du Carré - GRASSE","",43.65435,6.932668,,,0,,,
STOPPOINT:03601,,"Capucins Bas - GRASSE","",43.653699,6.927497,,,0,,,
STOPPOINT:03602,,"Capucins Bas - GRASSE","",43.653791,6.927434,,,0,,,
STOPPOINT:03603,,"Cercle St Mathieu - GRASSE","",43.659694,6.952906,,,0,STOPAREA:01598,,
STOPPOINT:03607,,"Les Chappes - BIOT","",43.615272,7.080036,,,0,STOPAREA:01707,,
STOPPOINT:03609,,"Les Chappes - BIOT","",43.615021,7.08006,,,0,STOPAREA:01707,,
STOPPOINT:03610,,"INRIA - BIOT","",43.616475,7.068106,,,0,,,
STOPPOINT:03611,,"INRIA - BIOT","",43.61649,7.068612,,,0,,,
STOPPOINT:03612,,"Eganaude - BIOT","",43.622919,7.057646,,,0,,,
STOPPOINT:03613,,"Centre Commercial - S.LAURENT-D-VAR","",43.659212,7.195391,,,0,STOPAREA:00756,,
STOPPOINT:03614,,"Les Genêts - VALBONNE","",43.624404,7.031793,,,0,,,
